"age","Avg_WAR","Median_WAR","Age_Obs","Lag_Avg_WAR","Lag_Median_WAR","Pct_Chg_Avg_WAR","Pct_Chg_Median_WAR"
19,0.278222222222222,0.13,45,,,,
20,1.01985611510791,0.39,139,0.278222222222222,0.13,2.66561702714506,2
21,1.05349593495935,0.48,369,1.01985611510791,0.39,0.0329848685055698,0.230769230769231
22,1.02728380024361,0.5,821,1.05349593495935,0.48,-0.0248810971603376,0.0416666666666667
23,1.13657677902622,0.55,1335,1.02728380024361,0.5,0.106390248494812,0.1
24,1.146064,0.59,1875,1.13657677902622,0.55,0.00834718881192628,0.0727272727272726
25,1.27674540682415,0.715,2286,1.146064,0.59,0.114026273248394,0.211864406779661
26,1.3563318237958,0.79,2429,1.27674540682415,0.715,0.0623353853840145,0.104895104895105
27,1.40569352159468,0.81,2408,1.3563318237958,0.79,0.0363935262248299,0.0253164556962026
28,1.38990687361419,0.81,2255,1.40569352159468,0.81,-0.0112305048988094,0
29,1.44324416342412,0.92,2056,1.38990687361419,0.81,0.0383747219489895,0.135802469135802
30,1.41873723804406,0.9,1861,1.44324416342412,0.92,-0.0169804430886586,-0.0217391304347826
31,1.37029012345679,0.77,1620,1.41873723804406,0.9,-0.0341480531335483,-0.144444444444444
32,1.26725759768452,0.73,1382,1.37029012345679,0.77,-0.075190300220772,-0.051948051948052
33,1.1931926121372,0.76,1137,1.26725759768452,0.73,-0.0584450909449198,0.0410958904109589
34,1.12750816104461,0.64,919,1.1931926121372,0.76,-0.0550493276814193,-0.157894736842105
35,1.12837643678161,0.66,696,1.12750816104461,0.64,0.000770083771447924,0.03125
36,1.04869653767821,0.62,491,1.12837643678161,0.66,-0.0706146428674697,-0.0606060606060607
37,1.05839541547278,0.64,349,1.04869653767821,0.62,0.00924850750060124,0.0322580645161291
38,0.751227272727273,0.39,220,1.05839541547278,0.64,-0.290220590768807,-0.390625
39,0.76472972972973,0.49,148,0.751227272727273,0.39,0.0179738642254525,0.256410256410256
40,0.757261904761905,0.38,84,0.76472972972973,0.49,-0.00976531273403509,-0.224489795918367
41,0.533409090909091,0.24,44,0.757261904761905,0.38,-0.295608180531935,-0.368421052631579
